City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,mahebourg,-20.4081,57.7,295.31,88,75,5.14,MU,1690155417
278,kotlas,61.2611,46.6556,284.15,98,43,2.37,RU,1690155418
279,galich,58.3797,42.3475,286.29,100,100,2.35,RU,1690155418
280,lagoa,39.05,-27.9833,295.07,82,13,4.3,PT,1690155418
281,douala,4.0483,9.7043,297.33,94,99,1.65,CM,1690155418
282,cidreira,-30.1811,-50.2056,289.43,93,50,2.45,BR,1690155138
283,agat village,13.3886,144.6585,303.35,83,0,4.12,GU,1690155418
284,dauphin,51.1494,-100.0502,296.23,64,0,3.09,CA,1690155418
285,chieti,42.3609,14.138,302.45,84,0,1.03,IT,1690155418
286,vadso,70.0744,29.7487,281.64,93,100,6.69,NO,1690155418
287,ciudad bolivar,8.1222,-63.5497,303.32,54,58,2.86,VE,1690155418
288,glace bay,46.1969,-59.957,295.87,97,75,2.68,CA,1690155418
289,moyynkum,44.2914,72.9469,300.73,20,0,3.43,KZ,1690155418
290,baiyin,36.5583,104.2081,293.52,65,44,2.23,CN,1690155419
291,inari,68.906,27.0288,282.26,81,72,3.96,FI,1690155419
292,buka,40.8108,69.1986,296.73,31,1,3.59,UZ,1690155419
293,palikir - national government center,6.9248,158.1611,301.62,79,100,2.06,FM,1690155419
294,urzhar,47.093,81.6294,296.14,30,4,4.09,KZ,1690155419
295,bubaque,11.2833,-15.8333,300.24,82,93,5.99,GW,1690155419
296,colonia,50.9333,6.95,292.57,85,0,2.06,DE,1690155406
297,khovd,48.0056,91.6419,291.7,32,95,0.76,MN,1690155419
298,katsuura,35.1333,140.3,301.59,59,47,2.22,JP,1690155419
299,sorong,-0.8833,131.25,298.78,85,96,7.2,ID,1690155419
300,tymovskoye,50.8456,142.655,298.67,60,100,1.41,RU,1690155419
301,fortuna,40.5982,-124.1573,296.44,68,20,7.72,US,1690155420
302,klyuchi,52.2667,79.1667,291.87,70,74,1.0,RU,1690155420
303,oriximina,-1.7656,-55.8661,301.47,51,56,1.67,BR,1690155420
304,puerto baquerizo moreno,-0.9,-89.6,297.75,81,91,5.32,EC,1690155144
305,liwonde,-15.0506,35.2035,289.62,73,1,0.51,MW,1690155420
306,tocache,-8.1842,-76.5125,298.72,71,39,1.14,PE,1690155420
307,swabi,34.1199,72.4699,301.97,65,21,2.46,PK,1690155420
308,lansdowne,39.9382,-75.2719,303.0,50,40,3.6,US,1690155420
309,chonchi,-42.6128,-73.8092,277.66,90,100,0.84,CL,1690155150
310,indre arna,60.4247,5.4764,288.12,1,22,1.15,NO,1690155420
311,juneau,58.3019,-134.4197,286.71,97,100,7.2,US,1690155170
312,kasama,-10.2129,31.1808,285.17,84,0,1.53,ZM,1690155420
313,amalapuram,16.5833,82.0167,298.32,90,100,4.47,IN,1690155421
314,floro,61.5996,5.0328,288.19,88,20,1.54,NO,1690155421
315,eyl,7.9803,49.8164,299.02,65,72,10.95,SO,1690155252
316,mazamari,-11.3258,-74.5308,296.25,66,8,2.19,PE,1690155421
317,murovani kurylivtsi,48.7235,27.5189,289.32,66,8,1.7,UA,1690155421
318,veraval,20.9,70.3667,300.2,88,97,7.42,IN,1690155421
319,kribi,2.95,9.9167,298.05,88,100,4.59,CM,1690155421
